2016-01-12 11:49:55,210 [Thread-2:6532] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `blog_app_article`.`id`, `blog_app_article`.`title`, `blog_app_article`.`desc`, `blog_app_article`.`content`, `blog_app_article`.`click_count`, `blog_app_article`.`is_recommend`, `blog_app_article`.`date_publish`, `blog_app_article`.`user_id`, `blog_app_article`.`category_id` FROM `blog_app_article` ORDER BY `blog_app_article`.`date_publish` DESC LIMIT 21; args=()
2016-01-12 11:49:55,211 [Thread-2:6532] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `blog_app_article`.`id`, `blog_app_article`.`title`, `blog_app_article`.`desc`, `blog_app_article`.`content`, `blog_app_article`.`click_count`, `blog_app_article`.`is_recommend`, `blog_app_article`.`date_publish`, `blog_app_article`.`user_id`, `blog_app_article`.`category_id` FROM `blog_app_article` ORDER BY `blog_app_article`.`date_publish` DESC LIMIT 21; args=()
2016-01-12 11:51:20,622 [Dummy-1:8960] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SET SQL_AUTO_IS_NULL = 0; args=None
2016-01-12 11:51:20,677 [Dummy-1:8960] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2016-01-12 11:51:20,681 [Dummy-1:8960] [django.db.backends:89] [utils:execute] [DEBUG]- (0.002) SHOW FULL TABLES; args=None
2016-01-12 11:51:20,687 [Dummy-1:8960] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2016-01-12 11:51:23,907 [Thread-2:7908] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2016-01-12 11:51:23,907 [Thread-2:7908] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT COUNT('*') AS `__count` FROM `blog_app_article`; args=('*',)
2016-01-12 11:51:23,907 [Thread-2:7908] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT COUNT('*') AS `__count` FROM `blog_app_article`; args=('*',)
2016-01-12 11:51:23,910 [Thread-2:7908] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT COUNT('*') AS `__count` FROM `blog_app_article` WHERE `blog_app_article`.`is_recommend` = 1; args=('*', True)
2016-01-12 11:54:34,743 [Thread-5:15288] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2016-01-12 11:54:34,743 [Thread-5:15288] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT COUNT('*') AS `__count` FROM `blog_app_article`; args=('*',)
2016-01-12 11:54:34,744 [Thread-5:15288] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT COUNT('*') AS `__count` FROM `blog_app_article`; args=('*',)
2016-01-12 11:54:34,746 [Thread-5:15288] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT COUNT('*') AS `__count` FROM `blog_app_article` WHERE `blog_app_article`.`is_recommend` = 1; args=('*', True)
2016-01-12 11:54:34,750 [Thread-5:15288] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `blog_app_links`.`id`, `blog_app_links`.`title`, `blog_app_links`.`description`, `blog_app_links`.`callback_url`, `blog_app_links`.`date_publish`, `blog_app_links`.`index` FROM `blog_app_links` ORDER BY `blog_app_links`.`index` ASC, `blog_app_links`.`id` ASC; args=()
2016-01-12 11:58:12,150 [Dummy-1:9840] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2016-01-12 11:58:12,204 [Dummy-1:9840] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2016-01-12 11:58:12,207 [Dummy-1:9840] [django.db.backends:89] [utils:execute] [DEBUG]- (0.002) SHOW FULL TABLES; args=None
2016-01-12 11:58:12,211 [Dummy-1:9840] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2016-01-12 11:58:18,384 [Thread-2:4056] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SET SQL_AUTO_IS_NULL = 0; args=None
2016-01-12 11:58:18,384 [Thread-2:4056] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT COUNT('*') AS `__count` FROM `blog_app_article`; args=('*',)
2016-01-12 11:58:18,398 [Thread-2:4056] [django.db.backends:89] [utils:execute] [DEBUG]- (0.011) SELECT COUNT('*') AS `__count` FROM `blog_app_article`; args=('*',)
2016-01-12 11:58:18,400 [Thread-2:4056] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT COUNT('*') AS `__count` FROM `blog_app_article` WHERE `blog_app_article`.`is_recommend` = 1; args=('*', True)
2016-01-12 11:58:18,411 [Thread-2:4056] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `blog_app_tag`.`id`, `blog_app_tag`.`name` FROM `blog_app_tag` ORDER BY `blog_app_tag`.`id` ASC LIMIT 10; args=()
2016-01-12 11:58:18,414 [Thread-2:4056] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `blog_app_links`.`id`, `blog_app_links`.`title`, `blog_app_links`.`description`, `blog_app_links`.`callback_url`, `blog_app_links`.`date_publish`, `blog_app_links`.`index` FROM `blog_app_links` ORDER BY `blog_app_links`.`index` ASC, `blog_app_links`.`id` ASC LIMIT 10; args=()
2016-01-12 11:58:32,809 [Thread-4:19340] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2016-01-12 11:58:32,812 [Thread-4:19340] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2016-01-12 11:58:32,832 [Thread-4:19340] [django.db.backends:89] [utils:execute] [DEBUG]- (0.020) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'hpy5asln110gmoet68qxyf1pygrmgl75' AND `django_session`.`expire_date` > '2016-01-12 03:58:32'); args=('hpy5asln110gmoet68qxyf1pygrmgl75', u'2016-01-12 03:58:32')
2016-01-12 11:58:32,835 [Thread-4:19340] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `blog_app_user`.`id`, `blog_app_user`.`password`, `blog_app_user`.`last_login`, `blog_app_user`.`is_superuser`, `blog_app_user`.`username`, `blog_app_user`.`first_name`, `blog_app_user`.`last_name`, `blog_app_user`.`email`, `blog_app_user`.`is_staff`, `blog_app_user`.`is_active`, `blog_app_user`.`date_joined`, `blog_app_user`.`avatar`, `blog_app_user`.`qq`, `blog_app_user`.`mobile` FROM `blog_app_user` WHERE `blog_app_user`.`id` = 1; args=(1,)
2016-01-12 11:58:32,838 [Thread-4:19340] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT COUNT('*') AS `__count` FROM `blog_app_tag`; args=('*',)
2016-01-12 11:58:32,838 [Thread-4:19340] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `blog_app_tag`.`id`, `blog_app_tag`.`name` FROM `blog_app_tag` ORDER BY `blog_app_tag`.`id` ASC; args=()
2016-01-12 11:58:32,851 [Thread-4:19340] [blog.views:16] [views:find_index_all] [ERROR]- [Errno 2] No such file or directory: 'ttt.txt'
2016-01-12 11:58:33,016 [Thread-5:15088] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2016-01-12 11:58:33,019 [Thread-5:15088] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2016-01-12 11:58:33,029 [Thread-5:15088] [django.db.backends:89] [utils:execute] [DEBUG]- (0.009) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'hpy5asln110gmoet68qxyf1pygrmgl75' AND `django_session`.`expire_date` > '2016-01-12 03:58:33'); args=('hpy5asln110gmoet68qxyf1pygrmgl75', u'2016-01-12 03:58:33')
2016-01-12 11:58:33,032 [Thread-5:15088] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `blog_app_user`.`id`, `blog_app_user`.`password`, `blog_app_user`.`last_login`, `blog_app_user`.`is_superuser`, `blog_app_user`.`username`, `blog_app_user`.`first_name`, `blog_app_user`.`last_name`, `blog_app_user`.`email`, `blog_app_user`.`is_staff`, `blog_app_user`.`is_active`, `blog_app_user`.`date_joined`, `blog_app_user`.`avatar`, `blog_app_user`.`qq`, `blog_app_user`.`mobile` FROM `blog_app_user` WHERE `blog_app_user`.`id` = 1; args=(1,)
2016-01-12 11:58:33,250 [Thread-6:14644] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SET SQL_AUTO_IS_NULL = 0; args=None
2016-01-12 11:58:33,253 [Thread-6:14644] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
